disease,keyword,risk_level,advice,source
糖尿病,干煸,HIGH,"干煸菜大多是先在油里反复炸过的，油脂和热量严重超标，会让血糖一直居高不下，下馆子少点。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,鱼香,HIGH,"鱼香肉丝、鱼香茄子为了调味，里面放了大量的白糖和淀粉，对血糖非常不友好，建议换成清炒。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,勾芡,HIGH,"菜汤里黏糊糊的勾芡全是纯淀粉，喝下去升糖比吃白米饭还快，吃菜的时候尽量避开菜汁，别用菜汤拌饭。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,土豆丝,HIGH,"土豆是主食不是蔬菜！吃了一盘炒土豆丝，米饭就得减半，不然一顿饭吃下去全是碳水，血糖肯定飙。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,粉条,HIGH,"猪肉炖粉条虽然香，但粉条几乎全是纯纯的红薯淀粉，吃多了和吃糖没区别，血糖不稳时尽量少吃。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,无糖饼干,HIGH,"别被‘无糖’两个字骗了！饼干本身就是面粉（碳水）做的，再加上为了起酥放的油脂，吃多了血糖照样下不来。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,红糖,HIGH,"很多人觉得红糖水能‘补血补气’，其实它跟白糖一样，喝了只会让血糖狂飙，贫血应该吃点红肉，少/不喝糖水。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,糖醋,HIGH,"这道菜里加了大量的糖和淀粉，会让血糖快速飙升，建议尽量别点这道菜。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,糯米,HIGH,"糯米软糯好消化，但升糖速度非常快，对血糖控制不友好，最好换成粗粮饭。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,凤爪,HIGH,"早茶里的虎皮凤爪通常是先炸后蒸，还加了甜酱油，热量高且容易升糖，血糖高要少点。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,面条,MEDIUM,"精白面条消化快，容易让血糖波动。如果想吃，建议加点蔬菜和瘦肉一起吃，或者选全麦面。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,白粥,HIGH,"熬得越烂的粥升糖越快，喝完血糖容易‘坐过山车’，主食不如吃点干饭或燕麦。","国家卫健委《成人糖尿病食养指南（2023年版）》"
